"inQuantity","outQuantity","total","name","wh_pd_ID","stockTake"
0,0,0,"Asian Luffa (Muop)","436",0
0,0,20,"Baby cos","459",20
0,0,0,"Baby eggplant","380",0
0,0,0,"Baby eggplant strip","381",0
0,0,0,"Baby spinach","460",0
0,0,0,"Bean sprouts","379",0
0,0,0,"Beetroots","382",0
0,0,0,"Beetroots Gourmet","383",0
0,0,0,"Bitter melon","374",0
0,0,0,"Broccoli","376",0
0,0,0,"Broccoli ice","378",0
0,0,0,"Broccolini","377",0
0,0,0,"Brusell sprouts","384",0
0,0,0,"Butter Lectuce","455",0
0,0,0,"Cab Chinese","386",0
0,0,0,"Cab red","389",0
0,0,0,"Cabbage","385",0
0,0,0,"Cabbage bin","387",0
0,0,0,"Cabbage savoy","388",0
0,0,0,"Caps Mix","400",0
0,0,0,"Caps green","398",0
0,0,0,"Caps green sale","399",0
0,0,0,"Caps yellow","397",0
0,0,0,"Capsicum Red No1","395",0
0,0,0,"Capsicum red","396",0
0,0,0,"Carrot 1kg","401",0
0,0,0,"Carrot 1kg sale","402",0
0,0,0,"Carrot 20kg","404",0
0,0,0,"Carrot 5kg","403",0
0,0,0,"Carrot baby","406",0
0,0,0,"Carrot loose","405",0
0,0,0,"Cauliflower","390",0
0,0,0,"Celeriac","391",0
0,0,0,"Celery","392",0
0,0,0,"Chestnuts 1 kg","407",0
0,0,0,"Chestnuts 10 kg","409",0
0,0,0,"Chestnuts box","408",0
0,0,0,"Chicory","452",0
0,0,0,"Chilli green big","410",0
0,0,0,"Chilli hot small","412",0
0,0,0,"Chilli red big","411",0
0,0,0,"Chinese melon","414",0
0,0,0,"ChoKo","415",0
0,0,0,"Coral green","450",0
0,0,0,"Coral red","449",0
0,0,0,"Corn baby","423",0
0,0,0,"Corn sweet","422",0
0,0,0,"Cos lettuce","453",0
0,0,0,"Courgette","424",0
0,0,0,"Cucum Leb sale","419",0
0,0,0,"Cucumber Leb","418",0
0,0,0,"Cucumber burp","416",0
0,0,0,"Cucumber burp sale","417",0
0,0,0,"Cucumber green","420",0
0,0,0,"Cucumber pickle","421",0
0,0,0,"Curry Leaf","439",0
0,0,0,"Dill","425",0
0,0,0,"Egg fruit","426",0
0,0,0,"Fennel leek","428",0
0,0,0,"Festival green","447",0
0,0,0,"Festival red","448",0
0,0,0,"Galanga","429",0
0,0,0,"Ginger old","431",0
0,0,0,"Ginger young","432",0
0,0,0,"Italian basil","462",0
0,0,0,"Jackfruit","438",0
0,0,0,"Leek","440",0
0,0,0,"Lemon 2nd","443",0
0,0,0,"Lemon good","441",0
0,0,0,"Lemon pre-pack","442",0
0,0,0,"Lettuce","454",0
0,0,0,"Lettuce mix 250g","457",0
0,0,0,"Lettuce trio","456",0
0,0,0,"Lime","445",0
0,0,0,"Lime Kaffir","446",0
0,0,0,"Lime pkt","444",0
0,0,0,"Lotus Root","430",0
0,0,0,"Luffa (India)","435",0
0,0,0,"Mushrooms","464",0
0,0,0,"Mushrooms field","466",0
0,0,0,"Mushrooms punnet","465",0
0,0,0,"Paprika green","467",0
0,0,0,"Paprika red","468",0
0,0,0,"Paprika yellow","469",0
0,0,0,"Parsley","471",0
0,0,0,"Parsley Italian","470",0
0,0,0,"Parsnips","472",0
0,0,0,"Radichio","451",0
0,0,0,"Rhubarb","473",0
0,0,0,"Rocket","461",0
0,0,0,"Silver beet","393",0
0,0,0,"Snake beans","433",0
0,0,0,"Snakekoil","437",0
0,0,0,"Spring onion","394",0
0,0,0,"Squash","458",0
0,0,0,"Stringless beans","434",0
0,0,0,"Thai basil","463",0
0,0,0,"Thai eggplant","427",0
0,0,0,"Yellow Chilli","413",0
