"inQuantity","outQuantity","total","name","wh_pd_ID","stockTake"
0,0,19,"Broccoli","4",19
0,0,0,"Broccolini","5",202
0,0,0,"Broccoli ice","6",200
0,0,0,"Bean sprouts","7",200
0,0,0,"Baby eggplant","8",200
0,0,0,"Baby eggplant strip","9",200
0,0,0,"Beetroots","10",200
0,0,0,"Beetroots Gourmet","11",200
0,0,0,"Brusell sprouts","12",200
0,0,0,"Cabbage","13",200
0,0,0,"Cab Chinese","14",200
0,0,0,"Cabbage bin","15",200
0,0,0,"Cabbage savoy","16",200
0,0,0,"Cab red","17",200
0,0,0,"Cauliflower","18",200
0,0,0,"Celeriac","19",200
0,0,0,"Celery","20",200
0,0,0,"Silver beet","21",200
0,0,0,"Spring onion","22",200
0,0,0,"Capsicum Red No1","23",200
0,0,0,"Capsicum red","24",200
0,0,0,"Caps yellow","25",200
0,0,0,"Caps green","26",200
0,0,0,"Caps green sale","27",200
0,0,0,"Caps Mix","28",200
0,0,0,"Carrot 1kg","29",200
0,0,0,"Carrot 1kg sale","30",200
0,0,0,"Carrot 5kg","31",200
0,0,0,"Carrot 20kg","32",200
0,0,0,"Carrot loose","33",200
0,0,0,"Carrot baby","34",200
0,0,0,"Chestnuts 1 kg","35",200
0,0,0,"Chestnuts box","36",200
0,0,0,"Chestnuts 10 kg","37",200
0,0,0,"Chilli green big","38",200
0,0,0,"Chilli red big","39",200
0,0,0,"Chilli hot small","40",200
0,0,0,"Yellow Chilli","41",200
0,0,0,"Chinese melon","42",200
0,0,0,"ChoKo","43",200
0,0,0,"Cucumber burp","44",200
0,0,0,"Cucumber burp sale","45",200
0,0,0,"Cucumber Leb","46",200
0,0,0,"Cucum Leb sale","47",200
0,0,0,"Cucumber green","48",200
0,0,0,"Cucumber pickle","49",200
0,0,0,"Corn sweet","50",200
0,0,0,"Corn baby","51",200
0,0,0,"Courgette","52",200
0,0,0,"Dill","53",200
0,0,0,"Egg fruit","54",200
0,0,0,"Thai eggplant","55",200
0,0,0,"Fennel leek","56",200
0,0,0,"Galanga","57",200
0,0,0,"Lotus Root","58",200
0,0,0,"Ginger old","59",200
0,0,0,"Ginger young","60",200
0,0,0,"Snake beans","61",200
0,0,0,"Stringless beans","62",200
0,0,0,"Luffa (India)","63",200
0,0,0,"Asian Luffa (Muop)","64",200
0,0,0,"Snakekoil","65",200
0,0,0,"Jackfruit","66",200
0,0,0,"Curry Leaf","67",200
0,0,0,"Leek","68",200
0,0,0,"Lemon good","69",200
0,0,0,"Lemon pre-pack","70",200
0,0,0,"Lemon 2nd","71",200
0,0,0,"Lime pkt","72",200
0,0,0,"Lime","73",200
0,0,0,"Lime Kaffir","74",200
0,0,0,"Festival green","75",200
0,0,0,"Festival red","76",200
0,0,0,"Coral red","77",200
0,0,0,"Coral green","78",200
0,0,0,"Radichio","79",200
0,0,0,"Chicory","80",200
0,0,0,"Cos lettuce","81",200
0,0,0,"Lettuce","82",200
0,0,0,"Butter Lectuce","83",200
0,0,0,"Lettuce trio","84",200
0,0,0,"Lettuce mix 250g","85",200
0,0,0,"Squash","86",200
0,0,0,"Baby cos","87",200
0,0,0,"Baby spinach","88",200
0,0,0,"Rocket","89",200
0,0,0,"Italian basil","90",200
0,0,0,"Thai basil","91",200
0,0,0,"Mushrooms","92",200
0,0,0,"Mushrooms punnet","93",200
0,0,0,"Mushrooms field","94",200
0,0,0,"Paprika green","95",200
0,0,0,"Paprika red","96",200
0,0,0,"Paprika yellow","97",200
0,0,0,"Parsley Italian","98",200
0,0,0,"Parsley","99",200
0,0,0,"Parsnips","100",200
0,0,0,"Rhubarb","101",200
