"shopProductID","productID","shopID","stockTake","productName","price"
1,24,1,96,"Asparagus",5
2,25,1,121,"Bitter melon",1
3,26,1,0,"Ind Bitter Melon",1
4,27,1,1,"Broccoli",1
5,28,1,1,"Broccolini",1
6,29,1,1,"Broccoli ice",1
7,30,1,1,"Bean sprouts",1
8,31,1,1,"Baby eggplant",1
9,32,1,1,"Baby eggplant strip",1
10,33,1,1,"Beetroots",1
11,34,1,1,"Beetroots Gourmet",1
12,35,1,1,"Brusell sprouts",1
13,36,1,1,"Cabbage",1
14,37,1,1,"Cab Chinese",1
15,38,1,1,"Cabbage bin",1
16,39,1,1,"Cabbage savoy",1
17,40,1,1,"Cab red",1
18,41,1,1,"Cauliflower",1
19,42,1,1,"Celeriac",1
20,43,1,1,"Celery",1
21,44,1,1,"Silver beet",1
22,45,1,1,"Spring onion",1
23,46,1,1,"Capsicum Red No1",1
24,47,1,1,"Capsicum red",1
25,48,1,1,"Caps yellow",1
26,49,1,1,"Caps green",1
27,50,1,1,"Caps green sale",1
28,51,1,1,"Caps Mix",1
29,52,1,1,"Carrot 1kg",1
30,53,1,1,"Carrot 1kg sale",1
31,54,1,1,"Carrot 5kg",1
32,55,1,1,"Carrot 20kg",1
33,56,1,1,"Carrot loose",1
34,57,1,1,"Carrot baby",1
35,58,1,1,"Chestnuts 1 kg",1
36,59,1,1,"Chestnuts box",1
37,60,1,1,"Chestnuts 10 kg",1
38,61,1,1,"Chilli green big",1
39,62,1,1,"Chilli red big",1
40,63,1,1,"Chilli hot small",1
41,64,1,1,"Yellow Chilli",1
42,65,1,1,"Chinese melon",1
43,66,1,1,"ChoKo",1
44,67,1,1,"Cucumber burp",1
45,68,1,1,"Cucumber burp sale",1
46,69,1,1,"Cucumber Leb",1
47,70,1,1,"Cucum Leb sale",1
48,71,1,1,"Cucumber green",1
49,72,1,1,"Cucumber pickle",1
50,73,1,1,"Corn sweet",1
51,74,1,1,"Corn baby",1
52,75,1,1,"Courgette",1
53,76,1,1,"Dill",1
54,77,1,1,"Egg fruit",1
55,78,1,1,"Thai eggplant",1
56,79,1,1,"Fennel leek",1
57,80,1,1,"Galanga",1
58,81,1,1,"Lotus Root",1
59,82,1,1,"Ginger old",1
60,83,1,1,"Ginger young",1
61,84,1,1,"Snake beans",1
62,85,1,1,"Stringless beans",1
63,86,1,1,"Luffa (India)",1
64,87,1,1,"Asian Luffa (Muop)",1
65,88,1,1,"Snakekoil",1
66,89,1,1,"Jackfruit",1
67,90,1,1,"Curry Leaf",1
